@保育所,タイトル,施設の類型,利用定員,預入開始_平日,引き取り終了_平日,TEL,所在地,geo:lat,geo:long,公民,設置主体,特別保育の実施状況,受入開始年齢,受入年終了年齢
大高保育園,保育所,100,7:30,19:30,621-2569,緑区大高町向山16,35.0720315,136.975064,公立,名古屋市,延長保育,6ヶ月,5歳
名古屋厚生会館第二保育園,保育所,207,7:30,19:30,523-0880,西区名西一丁目10-10,35.2168799,136.8822163,民間,社会福祉法人,延長保育+入所予約,産休あけ,5歳
新生保育園,保育所,100,7:30,19:30,522-7608,西区天神山町3-7,35.2277563,136.8697504,民間,社会福祉法人,延長保育+一時保育+入所予約,産休あけ,5歳
こてとろ保育室,小規模保育事業Ｂ型,19,7:30,18:30,982-7871,北区大我麻町162,35.1846615,136.8766453,民間,特定非営利活動法人,none,6ヶ月,2歳
十番保育園,保育所,90,7:30,18:00,652-3766,中川区十番町3-10-3,35.1473319,136.8092618,公立,名古屋市,none,6ヶ月,5歳
ちいさなおうちえんはなのオリーブ,小規模保育事業Ａ型,15,7:30,18:30,771-5517,名東区宝が丘12番,35.1727479,137.0084087,民間,株式会社,none,6ヶ月,2歳
昭和保育園,保育所,110,7:00,18:00,881-9756,昭和区村雲町19-1,35.1523514,136.9297994,民間,個人,none,産休あけ,5歳
島田第一保育園,保育所,120,7:30,19:30,801-6255,天白区高坂町93,35.1699978,136.99433,公立,名古屋市,延長保育+子育て支援センター+入所予約+休日保育,産休あけ,5歳
名古屋市ポピンズ保育室いのこし,小規模保育事業Ｂ型,10,7:30,18:30,776-2101,名東区平和が丘一丁目70,35.179567,137.0227288,民間,株式会社,none,6ヶ月,2歳
ちびっこタウンいりば園,小規模保育事業Ｂ型,12,7:30,18:30,383-6603,港区正徳町6-92,35.1135985,136.8616054,民間,個人,none,6ヶ月,2歳
高蔵保育園,保育所,120,7:30,19:30,671-1393,熱田区高蔵町9-7,35.1301926,136.9149931,公立,名古屋市,延長保育+子育て支援センター+入所予約,産休あけ,5歳
尾上保育園,保育所,90,7:30,19:30,915-8520,北区尾上町1-2,35.2232474,136.9167929,公立,名古屋市,延長保育,6ヶ月,5歳
アスクあじま保育園,保育所,60,7:30,19:30,909-5711,北区東味鋺三丁目101-1,35.2232947,136.9189732,民間,社会福祉法人,延長保育,産休あけ,5歳
くるみ保育室,小規模保育事業Ａ型,10,7:30,18:30,622-6665,緑区大高町字東姥神39-2,35.0631028,136.9338949,民間,社会福祉法人,none,6ヶ月,2歳
中山保育園,保育所,60,7:15,19:15,851-2414,瑞穂区中山町2-27-2,35.1382395,136.9282833,民間,宗教法人,延長保育+一時保育,産休あけ,5歳
南陽第一保育園,保育所,90,7:30,19:30,301-8849,港区東茶屋二丁目305,35.1104434,136.8615084,公立,名古屋市,延長保育,6ヶ月,5歳
キンダーフレンズ,事業所内保育事業,4,8:00,19:00,439-2011,中川区富田町大字千音寺字間渡里２８８３,35.1020175,136.8807204,民間,医療法人,none,6ヶ月,2歳
正色第二保育園,保育所,90,7:30,19:30,301-8902,中川区下之一色町字宮分23,35.1198582,136.8332417,公立,名古屋市,延長保育+子育て支援センター,6ヶ月,5歳
ルナ保育園,保育所,30,7:00,19:00,938-0015,東区橦木町3-53-2,35.1800305,136.9207827,民間,社会福祉法人,延長保育,産休あけ,3歳
天白保育園,保育所,259,7:15,19:15,801-0433,天白区島田三丁目110,35.1210625,136.9760739,民間,社会福祉法人,延長保育+一時保育,6ヶ月,5歳
オアシスこども園,幼保連携型認定こども園,63,7:30,19:30,501-8117,西区大野木四丁目43,35.1877195,136.8800228,民間,社会福祉法人,延長保育,産休あけ,5歳
ふたば館,小規模保育事業Ａ型,11,7:30,18:30,522-7608,西区天神山町3番7号,35.1878635,136.865113,民間,社会福祉法人,none,6ヶ月,2歳
まこと保育園,保育所,90,7:30,18:30,531-3980,西区児玉二丁目24-13,35.1965163,136.8997596,民間,個人,none,6ヶ月,5歳
港西保育園,保育所,90,7:30,18:00,381-1517,港区野跡四丁目4-8,35.1110251,136.8011344,公立,名古屋市,子育て支援センター,6ヶ月,5歳
認定こども園葵第二幼稚園,幼保連携型認定こども園,60,7:00,18:00,611-6758,南区白水町26,35.1135886,136.9110969,民間,学校法人,none,2歳,5歳
野南保育園,保育所,65,7:30,19:30,503-4343,西区野南町68,35.2180054,136.8962397,公立,名古屋市,延長保育,6ヶ月,5歳
富田第三保育園,保育所,90,7:30,19:30,431-6615,中川区戸田明正一丁目405,35.1556378,136.879815,公立,名古屋市,延長保育,6ヶ月,5歳
希望ヶ丘保育園,保育所,138,7:00,19:00,751-5050,千種区希望ヶ丘二丁目3-28,35.1779299,136.969901,民間,社会福祉法人,延長保育+一時保育+子育て支援センター+入所予約,産休あけ,5歳
天子田保育園,保育所,90,7:30,19:30,773-3660,守山区天子田二丁目1404,35.2290789,136.9949559,公立,名古屋市,延長保育,6ヶ月,5歳
やだ保育園,保育所,60,7:30,19:30,768-6510,東区矢田三丁目4-18,35.1978264,136.9428885,民間,社会福祉法人,延長保育+入所予約,6ヶ月,5歳
チャイルドほーむ小田井園,小規模保育事業Ａ型,15,7:30,18:30,502-6960,西区中小田井二丁目34番,35.1919602,136.8981953,民間,株式会社,none,6ヶ月,2歳
ささしまちとせ保育園,保育所,60,7:00,19:00,589-6530,中村区平池町4-60-5,35.162651,136.884992,民間,社会福祉法人,延長保育,6ヶ月,5歳
スクルドエンジェル保育園なんよう園,保育所,60,7:30,19:30,655-5692,港区七反野二丁目1904,35.1149251,136.8158495,民間,株式会社,延長保育,6ヶ月,5歳
保育室こいぬ,家庭的保育事業,3,8:00,16:00,N/A,緑区池上台二丁目,35.0981462,136.9904288,民間,個人,none,6ヶ月,2歳
清明山保育園,保育所,54,7:15,20:15,725-7258,千種区清明山一丁目1-3,35.1826997,136.9485431,民間,社会福祉法人,延長保育,産休あけ,3歳
ひいらぎ保育園,保育所,90,7:00,19:00,622-9366,緑区武路町2101,35.0560286,136.9454328,民間,社会福祉法人,延長保育,6ヶ月,5歳
千種ピッコロ保育園,保育所,40,7:30,19:30,799-8355,千種区宮根台一丁目1-17,35.1596461,136.9543164,民間,社会福祉法人,延長保育,産休あけ,3歳
キッズガーデン八事,小規模保育事業Ａ型,19,7:30,18:30,893-7560,昭和区山里町66-2,35.1544325,136.9469894,民間,株式会社,none,6ヶ月,2歳
上小田井保育園,保育所,198,7:00,19:00,502-1001,西区上小田井一丁目109,35.1863169,136.8786285,民間,社会福祉法人,延長保育+子育て支援センター+入所予約,産休あけ,5歳
南陽第二保育園,保育所,100,7:30,18:00,301-7914,港区知多二丁目2401,35.0772196,136.8527801,公立,名古屋市,none,6ヶ月,5歳
東栄保育園,保育所,120,7:30,19:30,841-0477,瑞穂区東栄町1-1,35.1524105,136.916596,公立,名古屋市,延長保育,6ヶ月,5歳
南・氷室保育園,保育所,106,7:30,19:30,692-0477,南区氷室町19-6-101,35.1008484,136.9023178,公立,名古屋市,延長保育,6ヶ月,5歳
ジョイフルドーム前保育園,保育所,120,7:00,19:00,719-0711,東区大幸一丁目1-11,35.1905775,136.9469133,民間,社会福祉法人,延長保育,6ヶ月,5歳
茶屋とくしげ保育園,保育所,100,7:30,19:30,877-1094,緑区鳴海町字神ノ倉3-4,35.0970466,136.9975974,民間,社会福祉法人,延長保育+入所予約,産休あけ,5歳
さくらケ丘保育園,保育所,120,7:50,18:30,623-5656,緑区尾崎山一丁目609,35.0669846,136.9739752,民間,社会福祉法人,none,3ヶ月,5歳
新生第２保育園,保育所,40,7:30,19:30,903-8080,北区五反田町297,35.2178427,136.9346275,民間,社会福祉法人,延長保育+入所予約,産休あけ,3歳
保育室こりす,家庭的保育事業,5,7:30,18:30,N/A,守山区大森四丁目,35.2043966,137.0008334,民間,個人,none,6ヶ月,2歳
mirai保育ルーム,小規模保育事業Ａ型,12,7:30,18:30,792-0322,守山区瀬古東三丁目1184番地,35.1944359,136.9674617,民間,社会福祉法人,none,6ヶ月,2歳
高針北保育園,保育所,90,7:30,19:30,701-4555,名東区勢子坊二丁目1302,35.1630273,137.0167663,公立,名古屋市,延長保育,6ヶ月,5歳
